Date,Calories,Steps,Sleep Duration,Sleep Score,Number of Interruptions,Number of Toss and Turns,Interruption Duration,Resting Heart Rate,Bike Calories,Bike Duration,Run Calories,Run Duration,Run Steps,Walk Calories,Walk Duration,Walk Steps
2015-11-22,3196.2,15328,563,83,1,39,7,57,84,13,389.5,28,4693,508.3,76,5245
2015-11-23,3158.8,10084,299,52,1,14,4,59,554,76,,,,392.4,60,4536
2015-11-24,2513.4,8092,407,85,3,35,14,58,,,,,,279.2,36,3393
2015-11-25,2593.3,7477,488,90,3,46,11,67,203.8,24,,,,198,31,2283
2015-11-26,3534.8,22420,603,62,3,47,2,59,,,,,,1364.2,193,14620
2015-11-27,3248.9,18464,504,91,2,28,1,68,,,,,,734.8,127,7583
2015-11-28,3180.3,17875,525,91,2,41,7,62,,,,,,820.7,137,8779
2015-11-29,2911,14790,434,91,0,18,0,60,,,,,,719.1,116,7570
2015-11-30,2967.3,9957,176,21,0,12,0,52,528.1,79,,,,346.6,51,4002
2015-12-01,1970.4,4201,476,90,1,36,4,59,,,,,,109.5,15,1296
2015-12-02,2656.2,6037,363,75,1,18,12,74,,,,,,197.1,27,2198
2015-12-03,2779.7,9040,255,42,0,21,0,75,,,,,,216.3,33,2184
2015-12-04,2219.5,3915,318,62,0,29,0,58,,,,,,68.6,12,682
2015-12-05,2592.5,10551,330,66,0,34,0,70,,,291.9,24,3974,79.7,15,769
2015-12-06,2557,9307,185,27,0,36,0,68,,,235.4,20,3342,125.8,16,1557
2015-12-07,2564.3,7969,170,23,0,37,0,64,,,,,,312.6,40,3753
2015-12-08,3134.4,8243,229,36,0,16,0,66,,,,,,272.9,36,3178
2015-12-09,2530.8,5887,155,20,0,23,0,60,,,,,,219.1,27,2533
2015-12-10,2360.1,6884,281,51,0,39,0,77,,,,,,305.4,38,3559
2015-12-11,5534.3,18442,195,29,0,52,0,72,,,,,,545.2,83,5729
2015-12-12,6521.4,30003,317,60,1,59,11,66,,,,,,922.9,154,9888
2015-12-13,3346.8,18611,233,38,0,67,0,73,108.1,15,491.6,37,5993,423.7,69,4794
2015-12-14,3128.2,8387,64,6,0,75,0,67,630.9,80,,,,295.1,38,3630
2015-12-15,3442.3,16520,129,16,0,53,0,62,128.3,20,,,,926.7,116,10405
2015-12-16,2892.1,11836,278,50,0,38,0,76,59.7,12,60.8,6,909,525.4,65,6146
2015-12-17,2900.9,6633,121,14,0,50,0,72,187.7,27,,,,204.2,27,2322
2015-12-18,3134.9,6083,141,18,0,52,0,59,173.3,29,,,,180.8,27,2146
2015-12-19,3336.6,16050,322,63,0,41,0,62,,,459.4,35,5826,287.6,49,3737
2015-12-20,3101.1,11574,314,59,0,49,0,70,108.9,17,,,,370.8,62,5912
2015-12-21,2272.5,8829,99,11,0,55,0,56,154.6,44,,,,201.9,53,5257
2015-12-22,2050.6,9021,112,12,0,53,0,62,55.3,15,,,,98.6,41,3806
2015-12-23,1952.7,6507,298,54,0,83,0,62,,,,,,150.5,53,5008
2015-12-24,2459.8,15835,325,62,1,82,14,72,,,360.4,33,5456,308.6,74,6308
2015-12-25,2070.5,6915,194,27,0,88,0,68,,,,,,49.2,17,1474
2015-12-26,2458.7,8698,392,86,0,104,0,58,,,,,,124.1,43,3979
2015-12-27,2683.3,16078,435,97,0,78,0,65,,,299.5,26,4517,174.2,53,5093
2015-12-28,2696.4,11609,398,87,0,59,0,61,,,,,,303.8,82,7579
2015-12-29,3182.5,14719,587,78,0,61,0,54,,,353.8,34,5871,242.2,66,6320
2015-12-30,3003.3,5368,522,96,0,76,0,55,,,,,,92.6,23,2109
2015-12-31,2680.5,12656,299,56,0,63,0,64,,,235.2,31,5394,125,41,3589
2016-01-01,2413.8,8203,321,59,1,109,14,64,,,,,,243.4,37,4180
2016-01-02,2800.1,16255,297,54,1,91,9,66,,,338.9,32,5575,269.5,77,7327
2016-01-03,3246.9,19489,303,56,0,42,0,61,,,495.8,40,6719,274.4,62,5893
2016-01-04,3391.8,6781,121,14,0,60,0,62,214.9,34,,,,196.1,38,3553
2016-01-05,2425.7,10457,288,51,0,57,0,61,,,,,,217.9,54,5460
2016-01-06,2214.5,3304,261,45,0,54,0,54,,,,,,34.4,6,590
2016-01-07,2523.1,8772,228,37,0,47,0,71,,,,,,225.2,61,6086
2016-01-08,2519.9,16366,280,50,0,59,0,69,,,,,,415.6,110,11604
2016-01-09,2641.9,15193,320,62,0,58,0,64,,,304.4,25,4262,331.5,71,7122
2016-01-10,2414.9,14234,210,30,1,65,22,70,,,336.3,31,5309,173.3,53,5168
2016-01-11,3567.2,7395,164,22,0,60,13,56,230.3,41,,,,192.3,37,3654
2016-01-12,2425.1,8174,387,83,1,42,9,62,,,,,,241.6,46,4976
2016-01-13,3042.5,6386,91,10,0,57,0,70,148,23,,,,122.5,25,2443
2016-01-14,2575.7,8824,134,17,0,63,0,64,65.8,25,,,,212.6,40,4342
2016-01-15,3083.6,18928,322,63,0,32,0,68,,,,,,553.9,143,13196
2016-01-16,3439.2,21765,544,97,0,25,13,70,,,423.8,35,5927,655.4,150,13624
2016-01-17,2836.6,12725,400,89,0,49,0,69,,,,,,372.9,95,9001
2016-01-18,3279.6,6848,354,74,0,38,0,68,460.7,65,,,,174.3,45,4265
2016-01-19,3444.6,10907,390,86,0,15,0,72,,,,,,326,61,6201
2016-01-20,2839.2,8009,313,60,0,35,0,70,121.4,23,,,,194.3,47,4781
2016-01-21,2699.1,7620,361,74,1,25,9,80,69.6,23,,,,216.3,49,4883
2016-01-22,3075.3,5869,576,85,1,33,11,61,138.2,25,,,,66.3,19,1674
2016-01-23,3227.9,21979,470,97,1,41,10,71,,,498.1,40,6839,415,117,10919
2016-01-24,3165.3,14447,335,65,1,32,11,64,183.8,35,369,34,5752,128.5,41,3816
2016-01-25,3150.5,8774,279,49,1,20,11,68,,,,,,218.9,46,4159
2016-01-26,2559.1,8846,337,67,0,20,0,67,,,,,,237.3,51,5062
2016-01-27,2622.8,9817,226,36,0,23,0,66,,,,,,214.2,48,4950
2016-01-28,2714.8,7806,223,35,0,22,0,65,126,26,,,,182.8,29,3033
2016-01-29,2880.5,7021,306,58,0,16,0,73,,,,,,135.2,32,3235
2016-01-30,2771.7,12833,354,74,0,25,0,67,7.5,6,211.5,15,2523,266.4,68,7165
2016-01-31,3182.3,20882,414,93,1,44,9,74,,,438.3,36,6094,469.1,101,10115
2016-02-01,2976.8,8267,207,32,0,30,0,62,283.1,44,,,,250.9,49,5066
2016-02-02,3393.8,9458,188,27,0,24,0,69,,,,,,247.2,45,4782
2016-02-03,2879.1,9307,253,43,0,25,0,64,179.4,24,,,,242.5,42,4285
2016-02-04,2343.9,5159,356,72,1,19,11,68,,,,,,98.9,25,2479
2016-02-05,2647,8022,232,38,0,26,0,67,145,25,,,,110,33,3356
2016-02-06,2531.4,13422,321,61,0,40,0,68,,,,,,264.9,89,8301
2016-02-07,2888.4,9167,280,49,1,27,10,60,,,,,,305.1,58,5894
2016-02-08,3296.5,9501,221,35,0,15,0,63,,,101.3,9,1536,239,48,4803
2016-02-09,2494.1,6496,394,85,1,28,11,75,,,,,,187.9,37,3788
2016-02-10,2493.8,6047,206,31,0,25,0,80,,,,,,120,30,3012
2016-02-11,2150.9,4195,155,21,0,18,0,68,,,,,,71.2,19,1917
2016-02-12,2741.5,9368,426,98,0,20,0,73,101.5,18,,,,147.3,37,3839
2016-02-13,5981.6,23803,264,45,0,26,0,67,,,324.5,39,6643,207.4,44,4411
2016-02-14,6726.3,29796,232,38,0,18,0,60,,,520.8,40,6704,329.7,56,5688
2016-02-15,3307.6,12165,227,36,0,19,0,68,157.2,23,356.4,28,4712,210.4,43,4448
2016-02-16,3163.3,9866,397,89,0,33,0,68,164.3,30,,,,142.7,34,3555
2016-02-17,3205.6,7816,353,73,0,25,0,73,38.2,11,,,,159.7,35,3275
2016-02-18,3175.6,11627,202,30,0,25,0,62,93.6,25,,,,378.6,68,7379
2016-02-19,2968.9,10664,227,36,0,27,0,68,,,,,,365.9,75,6996
2016-02-20,2677.3,15599,208,30,0,42,0,74,,,363,35,6012,254.4,57,5732
2016-02-21,2813.1,14759,236,39,0,34,0,60,48,13,363.8,36,6162,228,45,4145
2016-02-22,2563.2,7080,365,77,1,30,10,61,267.2,80,,,,126.2,28,2836
2016-02-23,2353,6104,341,66,2,23,19,57,236.8,54,,,,63.2,22,2178
2016-02-24,2269,8119,325,63,0,32,0,64,147.8,29,,,,198.9,47,4679
2016-02-25,2902.4,9069,187,27,0,29,0,66,,,,,,168.3,50,5391
2016-02-26,3081.5,7090,241,40,0,17,0,65,,,,,,175.9,33,3520
2016-02-27,3175.8,4750,188,27,0,23,0,64,,,,,,123.6,19,2032
2016-02-28,2868.2,3983,217,34,0,30,0,64,,,,,,29.9,8,732
2016-02-29,3280.2,4671,169,23,0,15,0,67,,,,,,43.2,10,931
2016-03-01,3049.9,10433,341,67,1,37,10,68,,,84.5,10,1640,278.6,57,5627
2016-03-02,2962.1,13767,427,98,0,26,0,73,,,172,15,2523,414.8,75,7340
2016-03-03,3008.8,12960,215,33,0,32,0,61,95.1,16,,,,346.9,88,8518
2016-03-04,3043.6,12754,287,52,0,28,0,67,122,23,,,,251.3,83,7770
2016-03-05,3109,13921,223,35,0,24,0,68,,,415.9,32,5445,164.7,37,3558
2016-03-06,2666.2,13040,263,44,0,49,0,68,74.3,15,414,36,5994,214.6,45,4213
2016-03-07,2471.2,6941,254,43,0,49,0,67,399,82,,,,91.7,25,2408
2016-03-08,3434.2,6593,230,37,0,36,0,66,152.1,22,,,,114.1,21,2097
2016-03-09,3135.2,6096,283,51,0,26,0,64,148.1,26,,,,79.4,19,1862
2016-03-10,2576.1,8191,260,43,1,24,10,62,268.3,46,,,,148.4,35,3754
2016-03-11,3853.2,6649,386,83,1,16,9,69,119.2,18,,,,138.8,26,2558
2016-03-12,3677.4,12253,92,10,0,16,0,66,242.7,39,384.2,32,5476,130.5,23,2134
2016-03-13,2161.7,5396,198,29,0,6,0,76,,,,,,119.1,25,2542
2016-03-14,3390.2,6735,276,49,0,21,0,66,,,,,,203.6,40,3928
2016-03-15,3057.7,9878,161,21,0,16,0,71,,,,,,450.3,59,6419
2016-03-16,2287.4,6089,310,58,0,21,0,58,,,,,,115.9,27,2788
2016-03-17,5265.4,19359,245,40,0,27,0,54,,,,,,326.3,84,8473
2016-03-18,3665,7955,68,7,0,11,0,57,162,30,,,,155.2,32,3405
2016-03-19,2622.5,7205,273,47,0,0,0,67,,,,,,163.3,34,3220
2016-03-20,2958.7,9057,285,52,0,34,0,63,,,,,,138.4,37,3582
2016-03-21,5821.2,19051,274,49,0,28,0,68,68.9,18,,,,248.6,58,5974
2016-03-22,2733.9,7233,232,38,0,17,0,72,122.6,22,,,,179.1,43,4289
2016-03-23,3078.5,6172,381,81,1,12,12,73,278.7,55,,,,78.5,18,1851
