,chaoexpo22_I12,chaoexpo51_I6,chaoexpo56_I5,chaoexpo44_I15,chaoexpo28_I15,chaoexpo74_I6,chaoexpo56_I12,chaoexpo70_I6,chaoexpo62_I6,chaoexpo75_I12
Aegilops,1.26686154119319,0,0,34.782393479267,1480.13591457556,0,106.353069684461,0.546149794805347,0,0
Salmonella,0.215157026026367,37.3765559008937,0,0,0,0,0,0,0,0
Aedes,0,0,0,0,0,43.14519278238,0,0,0,0
Adineta,8.56579971036427,0,0,0,0,0,0,0,0,0
Phellinus,64.4066949198288,249.523642593193,501.89069865285,364.510282527293,43.2855366125719,122.211126095943,1018.68532806167,0.918921981649564,7.4136729694237,7.68133907220757
Histophilus,0,0,0,0.326222572327495,0,0,0,0,0,0
Necator,199.730212885388,1.39024512471611,0,0,0,0,0,0,0,0
Chrysoporthe,3562.67187316831,641.747868993077,2.65336455754666,1893.37757912394,9.97720711925496,617.20615853482,314.290047886769,0,380.272550773619,7.37579605486652
Hordeum,0.440780521848341,1.39484069017481,0,0,111.44326865528,0,300.007170272237,0,0,0
Marchantia,10.8568835161732,37.9312223735306,1.16512898381638,11.1754533659926,0,0,0,0,0,0
Liriomyza,5.1937631329879,0,0,0.772031497428417,0,0,0,0,0.462147238682642,17.8992363601897
Chryseobacterium,34.3692227412377,1.14839964675491,3.87250957834547,82.4240203013028,1586.69637219809,162.113479498329,32.6625207772795,42.917643670636,0,4.86693084513072
Daucus,32.340460516236,0,0,2.3617420347748,1.95224027832129,0,77.8457051075984,0,56.7076106052631,0
Actinomyces,0,0.262857894571853,0,16.9830389757964,0,0,0.484405753164655,188.052577974484,0,0
Raoultella,0,0,80.1182148580557,0,0,0,0,0,0,0
Heterobasidion,0,175.999860634712,320.859782027176,199.343205274786,15.3907779186758,30.8861918930305,1042.5873472632,0,26.9082652759965,0
Lysinibacillus,0,0,0,5.0411975117484,0,0,2.15332932245293,0,0,0.133529142546668
Lucilia,0,0,0,0,0,0,0,2033.5562758251,0,0
Segetibacter,1213.2535282828,16.3618769700196,0.499474625787735,104.64962742401,32.2739281478938,44.4467237711887,51.4741615263058,1094.34575339021,0,0
Oribacterium,0,0,0,9.58097843175628,0,0,0.101460564385505,0,0,0
Pyrenochaeta,374.066666860773,119.669399141869,3.79128516624346,121.17692658242,0,6.50409010217392,32.9040267892844,0,0,0
Fomitiporia,180.901993324183,802.047122498719,1928.13472617614,1725.29335909223,80.2087396743218,1233.16081611447,1904.10508047767,30.1373421726382,30.5546390292788,265.157104590774
Leucoagaricus,36.9345871368111,90.4435018139059,123.620040346255,126.25296685823,25.2318952007756,126.799958362129,90.1768802615881,0,0.459388610842829,0
Zea,0,0,0,0,585.437897110968,0,0,161.038249775961,0,0
Exiguobacterium,0.235726252102406,722.002351664585,0,0.497888852407968,0.486662759543809,0,0,0,0,0
Sanghuangporus,145.22400073011,571.489945048291,1041.1840003398,1014.90420464914,554.728439935322,560.215146311678,463.978812244488,68.9111470768818,130.116682439591,0
Triops,0,0,0,0,0,0,0,0,94.4625996904558,2187.93880766306
Curvularia,57.9436888457432,0,0.268908754734245,0,207.626412132873,0,0,0,0,0.148545182639845
Enterococcus,0.371797786007133,1.95316096118684,7.32063115045207,0.465664386791328,0,0,7.6932202426274,1935.1901326671,0,0
Glarea,36.7038151182498,163.165800633778,33.0643666331598,321.615446139094,1.50620584092034,300.289195665986,483.975279028272,11.4288657770236,0.525709112045666,300.7172246279
Castanea,923.598358854362,9.1700028401088,0.207746831866655,29.5389963325513,74.8979760605542,51.7266662971103,19.7420668354375,1437.5337734921,29.9482831660747,3.83156149654765
Juglans,335.164295917019,22.1334560502948,0,31.3555244543632,0,15.2461005054443,0,0,0,1.65746635344827
Paracoccus,0,0,0,0,0,246.111002105308,0,0,0,10424.1319042448
Klebsiella,8.73701809440228,0.31912226251824,0,0,0,0,0,0,36.2491334154597,0
Prevotella,0,0,0,101.867708212583,3.36331430742325,0,9.49459654453836,2.89594777370884,0,0
