"from","to","Correlation","p_value","fdr","from_class","from_name","to_class","to_name","from_num","to_num"
"PM2296","EGF",1,0.0166666666666667,1.77815125038364,"Exposome (chemical)","Cyproconazole","Cytokine","EGF",2,6
"PM2296","CD40L",1,0.0166666666666667,1.77815125038364,"Exposome (chemical)","Cyproconazole","Cytokine","CD40L",2,6
"PM2342","LIF",1,0.0166666666666667,1.77815125038364,"Exposome (chemical)","Butylated triphenyl phosphate","Cytokine","LIF",1,7
"PM2541","IP10",-1,0.0166666666666667,1.77815125038364,"Exposome (chemical)","Amoxicillin","Cytokine","IP10",2,4
"PM2541","IL21",-1,0.0166666666666667,1.77815125038364,"Exposome (chemical)","Amoxicillin","Cytokine","IL21",2,4
"PM2549","IL1B",1,0.0166666666666667,1.77815125038364,"Exposome (chemical)","Tricresyl phosphate","Cytokine","IL1B",1,6
"genus_Aegilops","IL17F",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Aegilops","Cytokine","IL17F",9,3
"genus_Aegilops","IL12P70",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Aegilops","Cytokine","IL12P70",9,3
"genus_Aegilops","IL9",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Aegilops","Cytokine","IL9",9,3
"genus_Aegilops","VEGFD",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Aegilops","Cytokine","VEGFD",9,3
"genus_Aegilops","TNFB",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Aegilops","Cytokine","TNFB",9,3
"genus_Aegilops","IL22",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Aegilops","Cytokine","IL22",9,3
"genus_Aegilops","PDGFBB",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Aegilops","Cytokine","PDGFBB",9,3
"genus_Aegilops","VEGF",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Aegilops","Cytokine","VEGF",9,3
"genus_Aegilops","LEPTIN",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Aegilops","Cytokine","LEPTIN",9,3
"genus_Alternaria","SCF",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Alternaria","Cytokine","SCF",2,7
"genus_Alternaria","PAI1",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Alternaria","Cytokine","PAI1",2,7
"genus_Anoxybacillus","IL2",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Anoxybacillus","Cytokine","IL2",2,15
"genus_Anoxybacillus","MCP1",-0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Anoxybacillus","Cytokine","MCP1",2,15
"genus_Arabis","SDF1A",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Arabis","Cytokine","SDF1A",3,4
"genus_Arabis","IL1A",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Arabis","Cytokine","IL1A",3,4
